IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
9162,A15-A34,M,2022-03-15,2020-01-01,1,0,-9,0,1,0,1
9162,A15-A34,M,2022-01-10,2020-01-06,1,0,-9,0,1,0,1
9162,A60-A79,M,2022-01-17,2020-01-15,1,0,-9,0,1,0,1
9162,A05-A14,M,2022-01-25,2020-01-19,1,0,-9,0,1,0,1
9162,A15-A34,M,2022-01-22,2020-01-20,1,0,-9,0,1,0,1
9162,A60-A79,M,2022-01-28,2020-01-22,1,0,-9,0,1,0,1
9162,A05-A14,M,2022-01-25,2020-01-22,1,0,-9,0,1,0,1
9162,A35-A59,M,2022-01-30,2020-01-26,1,0,-9,0,1,0,1
9162,A05-A14,M,2022-02-01,2020-01-27,1,0,-9,0,1,0,1
9162,A15-A34,M,2022-02-03,2020-01-29,1,0,-9,0,1,0,1
9162,A15-A34,M,2022-02-05,2020-01-31,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-02-03,2020-02-03,0,0,-9,0,1,0,1
9162,A35-A59,M,2020-02-11,2020-02-05,1,0,-9,0,1,0,1
9162,A00-A04,M,2022-02-16,2020-02-14,1,0,-9,0,1,0,1
9162,A05-A14,M,2020-03-10,2020-02-24,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-02-28,2020-02-24,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-04-04,2020-02-25,1,0,-9,0,1,0,1
9162,A35-A59,M,2022-03-01,2020-02-25,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-24,2020-02-26,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-04-24,2020-02-26,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-02,2020-02-26,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-02,2020-02-28,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-04,2020-02-28,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-31,2020-02-28,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-17,2020-02-29,1,0,-9,0,2,0,2
9162,A60-A79,M,2020-04-07,2020-03-01,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-02-28,2020-03-01,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-10,2020-03-01,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-19,2020-03-01,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-22,2020-03-01,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-05,2020-03-02,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-09,2020-03-02,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-04-05,2020-03-02,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-06,2020-03-02,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-11,2020-03-03,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-19,2020-03-03,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-22,2020-03-03,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-09,2020-03-03,1,0,-9,0,2,0,2
9162,A35-A59,M,2020-03-18,2020-03-03,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-09,2020-03-03,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-12,2020-03-03,1,0,0,-9,1,1,0
9162,A35-A59,M,2020-03-04,2020-03-04,0,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-24,2020-03-04,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-06,2020-03-04,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-14,2020-03-04,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-13,2020-03-04,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-25,2020-03-04,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-05,2020-03-05,0,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-10,2020-03-05,1,0,-9,0,1,0,1
9162,A80+,M,2020-03-13,2020-03-05,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-21,2020-03-05,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-11,2020-03-05,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-06,2020-03-06,0,0,-9,0,3,0,3
9162,A60-A79,M,2020-03-06,2020-03-06,0,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-06,2020-03-06,0,0,-9,0,2,0,2
9162,A35-A59,M,2020-03-14,2020-03-06,1,0,-9,0,2,0,2
9162,A15-A34,M,2020-03-25,2020-03-06,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-26,2020-03-06,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-13,2020-03-06,1,0,-9,0,2,0,2
9162,A60-A79,M,2020-03-20,2020-03-06,1,0,-9,0,1,0,1
9162,A05-A14,M,2022-03-08,2020-03-06,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-11,2020-03-06,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-21,2020-03-06,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-25,2020-03-07,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-27,2020-03-07,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-13,2020-03-07,1,0,-9,0,2,0,2
9162,A35-A59,M,2020-03-19,2020-03-07,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-04-09,2020-03-07,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-18,2020-03-07,1,0,-9,0,2,0,2
9162,A35-A59,M,2020-03-11,2020-03-07,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-10,2020-03-07,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-24,2020-03-08,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-22,2020-03-08,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-10,2020-03-08,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-04-07,2020-03-08,1,0,-9,0,1,0,1
9162,A60-A79,M,2020-03-16,2020-03-08,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-11,2020-03-08,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-06-08,2020-03-08,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-21,2020-03-08,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-18,2020-03-08,1,0,-9,0,2,0,2
9162,A15-A34,M,2020-03-17,2020-03-08,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-20,2020-03-08,1,0,-9,0,2,0,2
9162,A35-A59,M,2020-03-21,2020-03-08,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-17,2020-03-08,1,0,-9,0,2,0,2
9162,A15-A34,M,2020-03-09,2020-03-09,0,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-09,2020-03-09,0,0,-9,0,3,0,3
9162,A60-A79,M,2020-03-09,2020-03-09,0,0,-9,0,2,0,2
9162,A35-A59,M,2020-03-24,2020-03-09,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-18,2020-03-09,1,0,-9,0,1,0,1
9162,A80+,M,2020-03-25,2020-03-09,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-27,2020-03-09,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-25,2020-03-09,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-30,2020-03-09,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-22,2020-03-09,1,0,-9,0,1,0,1
9162,A35-A59,M,2020-03-13,2020-03-09,1,0,-9,0,2,0,2
9162,A35-A59,M,2020-04-01,2020-03-09,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-12,2020-03-09,1,0,-9,0,1,0,1
9162,A15-A34,M,2020-03-21,2020-03-09,1,0,-9,0,1,0,1
