IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
6635,A35-A59,M,2020-04-04,2020-02-28,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-18,2020-03-06,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-10,2020-03-07,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-13,2020-03-12,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-17,2020-03-12,1,0,-9,0,1,0,1
6635,A15-A34,M,2020-03-17,2020-03-14,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-18,2020-03-14,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-21,2020-03-15,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-19,2020-03-15,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-17,2020-03-17,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-17,2020-03-17,0,0,-9,0,4,0,4
6635,A60-A79,M,2020-03-19,2020-03-19,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-19,2020-03-19,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-21,2020-03-19,1,0,-9,0,1,0,1
6635,A80+,M,2020-03-21,2020-03-19,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-21,2020-03-21,0,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-24,2020-03-21,1,0,-9,0,2,0,2
6635,A35-A59,M,2020-03-23,2020-03-23,0,0,-9,0,1,0,1
6635,A15-A34,M,2020-03-23,2020-03-23,0,0,-9,0,1,0,1
6635,A15-A34,M,2020-03-26,2020-03-23,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-01,2020-03-23,1,0,-9,0,1,0,1
6635,A60-A79,M,2020-03-27,2020-03-25,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-03-27,2020-03-25,1,0,-9,0,1,0,1
6635,A35-A59,M,2020-04-01,2020-03-25,1,0,-9,0,1,0,1
