IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
7140,A35-A59,W,2021-03-23,2021-03-20,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-21,2021-03-21,0,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-21,2021-03-21,0,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-24,2021-03-21,1,0,-9,-9,1,0,0
7140,A35-A59,W,2021-03-24,2021-03-21,1,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-24,2021-03-22,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-26,2021-03-22,1,0,-9,-9,1,0,0
7140,A35-A59,W,2021-03-25,2021-03-22,1,0,-9,-9,2,0,0
7140,A05-A14,W,2021-03-26,2021-03-22,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-25,2021-03-22,1,0,-9,-9,2,0,0
7140,A35-A59,W,2021-03-24,2021-03-22,1,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-23,2021-03-22,1,0,-9,-9,1,0,0
7140,A00-A04,W,2021-03-27,2021-03-22,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-23,2021-03-23,0,0,-9,-9,1,0,0
7140,A35-A59,W,2021-03-23,2021-03-23,0,0,-9,-9,2,0,0
7140,A60-A79,W,2021-03-25,2021-03-23,1,0,-9,-9,1,0,0
7140,A35-A59,W,2021-03-24,2021-03-23,1,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-26,2021-03-23,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-24,2021-03-23,1,0,-9,-9,1,0,0
IdLandkreis,Altersgruppe,Geschlecht,Meldedatum,Refdatum,IstErkrankungsbeginn,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
7140,A35-A59,W,2021-03-23,2021-03-20,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-21,2021-03-21,0,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-21,2021-03-21,0,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-24,2021-03-21,1,0,-9,-9,1,0,0
7140,A35-A59,W,2021-03-24,2021-03-21,1,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-24,2021-03-22,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-26,2021-03-22,1,0,-9,-9,1,0,0
7140,A35-A59,W,2021-03-25,2021-03-22,1,0,-9,-9,2,0,0
7140,A05-A14,W,2021-03-26,2021-03-22,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-25,2021-03-22,1,0,-9,-9,2,0,0
7140,A35-A59,W,2021-03-24,2021-03-22,1,0,-9,-9,1,0,0
7140,A60-A79,W,2021-03-23,2021-03-22,1,0,-9,-9,1,0,0
7140,A00-A04,W,2021-03-27,2021-03-22,1,0,-9,-9,1,0,0
7140,A15-A34,W,2021-03-23,2021-03-23,0,0,-9,-9,1,0,0
